order_id,customer_id,product_id,quantity,order_date
85013,404,202,10,2023-01-01
109991,456,698,10,2023-01-01
35399,362,589,14,2023-01-01
103195,639,321,15,2023-01-01
132231,789,467,7,2023-01-01
143861,740,475,10,2023-01-01
89940,333,472,4,2023-01-01
143814,799,660,2,2023-01-01
65513,521,564,13,2023-01-01
9211,760,648,3,2023-01-01
83796,172,617,11,2023-01-01
65391,564,262,19,2023-01-01
131267,482,292,1,2023-01-01
131279,1004,495,2,2023-01-01
11815,889,474,11,2023-01-01
35127,380,395,19,2023-01-01
43537,894,335,15,2023-01-01
62087,353,638,9,2023-01-01
116180,831,533,1,2023-01-01
142277,708,419,11,2023-01-01
137973,933,636,13,2023-01-01
46834,1022,234,17,2023-01-01
48255,220,525,19,2023-01-01
48241,350,608,7,2023-01-01
14719,267,342,9,2023-01-01
37162,336,228,15,2023-01-01
137935,1009,499,18,2023-01-01
129398,980,510,4,2023-01-01
126003,849,524,18,2023-01-01
75652,285,595,15,2023-01-01
103772,1029,462,4,2023-01-01
39536,926,497,19,2023-01-01
18070,512,595,1,2023-01-01
3652,561,217,16,2023-01-01
37249,843,343,19,2023-01-01
96537,536,645,6,2023-01-01
61406,514,330,8,2023-01-01
2677,653,291,3,2023-01-01
55857,793,292,17,2023-01-01
66072,586,371,12,2023-01-01
128866,430,594,12,2023-01-01
123186,391,285,3,2023-01-01
97457,562,492,13,2023-01-01
100891,920,513,12,2023-01-01
16725,409,563,8,2023-01-01
122523,953,405,17,2023-01-01
83220,696,440,17,2023-01-01
26238,601,605,9,2023-01-01
87155,755,393,7,2023-01-01
22097,165,382,5,2023-01-01
143190,434,645,14,2023-01-01
63438,220,387,12,2023-01-01
7356,990,496,11,2023-01-01
22499,403,441,13,2023-01-01
122317,567,579,15,2023-01-01
122294,360,516,9,2023-01-01
12367,277,679,8,2023-01-01
22389,935,655,9,2023-01-01
47301,327,450,3,2023-01-01
12275,389,406,4,2023-01-01
7987,112,223,15,2023-01-01
91246,1000,336,13,2023-01-01
139398,309,639,19,2023-01-01
90330,1074,210,6,2023-01-01
82641,828,527,18,2023-01-01
121557,125,595,6,2023-01-01
5209,335,473,13,2023-01-01
71458,887,285,4,2023-01-01
114581,400,203,15,2023-01-01
98075,329,352,1,2023-01-01
74515,648,584,2,2023-01-01
126763,279,336,10,2023-01-01
66648,839,322,18,2023-01-01
71724,1018,413,17,2023-01-01
79016,125,220,1,2023-01-01
45773,879,523,17,2023-01-01
134686,309,438,2,2023-01-01
126954,123,386,16,2023-01-01
71819,552,289,10,2023-01-01
34765,170,495,19,2023-01-01
41862,387,328,15,2023-01-01
40966,396,462,18,2023-01-01
74125,1052,287,4,2023-01-01
51530,173,376,7,2023-01-01
140211,847,227,3,2023-01-01
107599,916,619,11,2023-01-01
124715,922,411,3,2023-01-01
4087,667,205,15,2023-01-01
89220,856,492,6,2023-01-01
105393,763,508,7,2023-01-01
53455,603,274,3,2023-01-01
45085,743,242,7,2023-01-01
36802,499,698,1,2023-01-01
144097,130,556,14,2023-01-01
78089,291,281,14,2023-01-01
149890,861,434,6,2023-01-01
118181,529,265,10,2023-01-01
136945,139,298,8,2023-01-01
24490,1093,399,17,2023-01-01
46470,173,438,6,2023-01-01
147519,1007,415,9,2023-01-01
58827,146,693,5,2023-01-01
117922,1000,470,6,2023-01-01
5660,800,605,8,2023-01-01
